gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cells Memory	CAFs MSC iCAF-like s1	CAFs MSC iCAF-like s2	CAFs myCAF like s4	CAFs myCAF like s5	Cancer Basal SC_0	Cancer Basal SC_1	Cancer Basal SC_2	Cancer Cycling_0	Cancer Cycling_1	Cancer Cycling_2	Cancer Her2 SC_0	Cancer Her2 SC_1	Cancer Her2 SC_2	Cancer LumA SC_0	Cancer LumA SC_1	Cancer LumA SC_2	Cancer LumB SC_1	Cancer LumB SC_2	Cycling PVL	Cycling_Myeloid	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	G0_arrested	Luminal Progenitors_0	Luminal Progenitors_1	Luminal Progenitors_2	Mature Luminal_0	Mature Luminal_1	Mature Luminal_2	Myeloid_c0_DC_LAMP3	Myeloid_c10_Macrophage_1_EGR1	Myeloid_c11_cDC2_CD1C	Myeloid_c12_Monocyte_1_IL1B	Myeloid_c1_LAM1_FABP5	Myeloid_c2_LAM2_APOE	Myeloid_c3_cDC1_CLEC9A	Myeloid_c4_DCs_pDC_IRF7	Myeloid_c5_Macrophage_3_SIGLEC1	Myeloid_c8_Monocyte_2_S100A9	Myeloid_c9_Macrophage_2_CXCL10	Myoepithelial_0	Myoepithelial_2	PVL Differentiated s3	PVL Immature s1	PVL_Immature s2	Plasmablasts	T_cells_c11_MKI67	T_cells_c2_CD4+_T-regs_FOXP3	T_cells_c5_CD8+_GZMK	T_cells_c6_IFIT1
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.031	0.074	0.0	0.113	0.095	0.0	0.032	0.045	0.0	0.064	0.026	0.131	0.245	0.376	0.0	0.051	0.398	0.075	0.179	0.077	0.244	0.037	0.053	0.0	0.069	0.092	0.043	0.081	0.21	0.0	0.125	0.0	0.155	0.14	0.193	0.156	0.188	0.042	0.0	0.027	0.0	0.182	0.063	0.07	0.0	0.052	0.0	0.143	0.042	0.0	0.473	0.043	0.144
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.031	0.074	0.0	0.113	0.095	0.0	0.032	0.045	0.0	0.064	0.026	0.131	0.245	0.376	0.0	0.051	0.398	0.075	0.179	0.077	0.244	0.037	0.053	0.0	0.069	0.092	0.043	0.081	0.21	0.0	0.125	0.0	0.155	0.14	0.193	0.156	0.188	0.042	0.0	0.027	0.0	0.182	0.063	0.07	0.0	0.052	0.0	0.143	0.042	0.0	0.473	0.043	0.144
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.031	0.074	0.0	0.113	0.095	0.0	0.032	0.045	0.0	0.064	0.026	0.131	0.245	0.376	0.0	0.051	0.398	0.075	0.179	0.077	0.244	0.037	0.053	0.0	0.069	0.092	0.043	0.081	0.21	0.0	0.125	0.0	0.155	0.14	0.193	0.156	0.188	0.042	0.0	0.027	0.0	0.182	0.063	0.07	0.0	0.052	0.0	0.143	0.042	0.0	0.473	0.043	0.144
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.268	0.159	0.0	0.473	0.22	0.0	0.231	0.222	0.135	0.165	0.173	0.178	0.205	0.154	0.0	0.171	0.225	0.18	0.121	0.077	0.0	0.203	0.136	0.307	0.182	0.191	0.139	0.125	0.556	0.0	0.233	0.0	0.145	0.217	0.225	0.32	0.198	0.254	0.185	0.255	0.694	0.0	0.214	0.124	0.491	0.106	0.411	0.274	0.169	0.095	0.0	0.193	0.216
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.268	0.159	0.0	0.473	0.22	0.0	0.231	0.222	0.135	0.165	0.173	0.178	0.205	0.154	0.0	0.171	0.225	0.18	0.121	0.077	0.0	0.203	0.136	0.307	0.182	0.191	0.139	0.125	0.556	0.0	0.233	0.0	0.145	0.217	0.225	0.32	0.198	0.254	0.185	0.255	0.694	0.0	0.214	0.124	0.491	0.106	0.411	0.274	0.169	0.095	0.0	0.193	0.216
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.268	0.159	0.0	0.473	0.22	0.0	0.231	0.222	0.135	0.165	0.173	0.178	0.205	0.154	0.0	0.171	0.225	0.18	0.121	0.077	0.0	0.203	0.136	0.307	0.182	0.191	0.139	0.125	0.556	0.0	0.233	0.0	0.145	0.217	0.225	0.32	0.198	0.254	0.185	0.255	0.694	0.0	0.214	0.124	0.491	0.106	0.411	0.274	0.169	0.095	0.0	0.193	0.216
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.095	0.073	0.0	0.0	0.034	0.0	0.007	0.004	0.0	0.002	0.008	0.0	0.014	0.035	0.0	0.006	0.057	0.007	0.0	0.0	0.0	0.014	0.004	0.113	0.019	0.016	0.011	0.029	0.0	0.0	0.009	0.0	0.024	0.24	0.128	0.0	0.177	0.057	0.185	0.0	0.0	0.152	0.046	0.009	0.141	0.0	0.0	0.0	0.021	0.0	0.0	0.037	0.049
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.084	0.162	0.0	0.162	0.15	0.101	0.056	0.08	0.0	0.054	0.066	0.164	0.053	0.031	0.0	0.24	0.0	0.22	0.0	0.42	0.149	0.184	0.247	0.188	0.108	0.179	0.066	0.188	0.036	0.0	0.213	0.0	0.0	0.186	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.288	0.0	0.158	0.114	0.095	0.0	0.122	0.081
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.084	0.162	0.0	0.162	0.15	0.101	0.056	0.08	0.0	0.054	0.066	0.164	0.053	0.031	0.0	0.24	0.0	0.22	0.0	0.42	0.149	0.184	0.247	0.188	0.108	0.179	0.066	0.188	0.036	0.0	0.213	0.0	0.0	0.186	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.288	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.084	0.162	0.0	0.162	0.15	0.066	0.056	0.08	0.0	0.048	0.066	0.065	0.053	0.031	0.0	0.113	0.0	0.102	0.0	0.082	0.149	0.184	0.144	0.188	0.108	0.149	0.066	0.119	0.0	0.0	0.18	0.0	0.0	0.092	0.0	0.258	0.116	0.229	0.0	0.095	0.0	0.0	0.115	0.154	0.0	0.143	0.0	0.158	0.114	0.095	0.0	0.122	0.081
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.036	0.067	0.0	0.095	0.118	0.54	0.099	0.052	0.244	0.224	0.125	0.065	0.204	0.328	0.0	0.301	0.184	0.125	0.0	0.0	0.107	0.166	0.124	0.0	0.243	0.247	0.409	0.029	0.264	0.0	0.104	0.0	0.049	0.065	0.246	0.0	0.096	0.046	0.0	0.0	0.0	0.0	0.073	0.253	0.147	0.065	0.0	0.107	0.049	0.108	0.0	0.042	0.132
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.036	0.067	0.0	0.095	0.118	0.54	0.099	0.052	0.244	0.224	0.125	0.065	0.204	0.328	0.0	0.301	0.184	0.125	0.0	0.0	0.107	0.166	0.124	0.0	0.243	0.247	0.409	0.029	0.264	0.0	0.104	0.0	0.049	0.065	0.246	0.0	0.096	0.046	0.0	0.0	0.0	0.0	0.073	0.253	0.147	0.065	0.0	0.107	0.049	0.108	0.0	0.042	0.132
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.036	0.067	0.0	0.095	0.118	0.54	0.099	0.052	0.244	0.224	0.125	0.065	0.204	0.328	0.0	0.301	0.184	0.125	0.0	0.0	0.107	0.166	0.124	0.0	0.243	0.247	0.409	0.029	0.264	0.0	0.104	0.0	0.049	0.065	0.246	0.0	0.096	0.046	0.0	0.0	0.0	0.0	0.073	0.253	0.147	0.065	0.0	0.107	0.049	0.108	0.0	0.042	0.132
